"name","name_alt1","name_alt2","name_alt3","name_alt4","abbreviation","type","uniqid","statements","appearances"
"Australian Fleet Lessors Association","Australasian Fleet Management Association","Australian Fleet Lessors' Association",NA,NA,NA,"Business","351",0,1
"Australian Food and Grocery Council",NA,NA,NA,NA,NA,"Business","354",0,329
"Australian Football League",NA,NA,NA,NA,NA,"Business","355",7,273
"Australian Funeral Directors Association",NA,NA,NA,NA,"AFDA","Professional","359",13,42
"Australian Furniture Association",NA,NA,NA,NA,NA,"Business","360",4,7
"Australian Gift and Homewares Association",NA,NA,NA,NA,"AGHA","Business","370",0,0
"Australian Glass and Glazing Association","Australian Glass and Window Association",NA,NA,NA,NA,"Business","371",0,3
"Australian Golf Course Superintendents Association",NA,NA,NA,NA,NA,"Professional","372",0,0
"Australian Greyhound Racing Association",NA,NA,NA,NA,NA,"Business","378",0,0
"Australian Hotels Association National Office",NA,NA,NA,NA,"AHA","Business","395",0,0
"Australian Industry Group",NA,NA,NA,NA,NA,"Business","407",1345,3855
"Australian Institute of Company Directors",NA,NA,NA,NA,NA,"Professional","416",91,1393
"Australian Institute of Credit Management",NA,NA,NA,NA,NA,"Professional","418",2,12
"Australian Institute of Food Science and Technology Inc","Australian Institute of Food Science and Technology",NA,NA,NA,NA,"Professional","420",1,6
"Australian Institute of Landscape Designers and Managers",NA,NA,NA,NA,"AILDM","Professional","429",0,3
"Australian Institute of Packaging Inc","Australian Institute of Packaging",NA,NA,NA,NA,"Professional","436",0,2
"Australian Institute of Professional Photography",NA,NA,NA,NA,NA,"Professional","441",2,14
"Australian Institute of Project Management",NA,NA,NA,NA,NA,"Professional","442",2,14
"Australian Institute of Refrigeration, Air Conditioning and Heating Inc","Australian Institute of Refrigeration, Air Conditioning and Heating",NA,NA,NA,NA,"Business","445",0,1
"Australian Institute of Superannuation Trustees'","Australian Institute of Superannuation Trustees",NA,NA,NA,NA,"Professional","446",107,665
"Australian Institute of Tourism Officers",NA,NA,NA,NA,NA,"Professional","447",0,0
"Australian Investors Association",NA,NA,NA,NA,NA,"Professional","451",1,22
"Australian Karate Federation",NA,NA,NA,NA,"AKF","Business","455",0,0
"Australian Liquor Stores Association","Retail Drinks Australia",NA,NA,NA,NA,"Business","467",19,45
"Australian Marketing Institute",NA,NA,NA,NA,"AMI","Professional","494",1,13
"Australian Music Retailers Association",NA,NA,NA,NA,"AMRA","Business","520",2,6
"Australian Numismatic Society",NA,NA,NA,NA,"ANS","Professional","537",0,0
"Australian Packaging and Processing Machinery Association",NA,NA,NA,NA,"APPMA","Business","549",0,0
"Australian Paint Manufacturers' Federation","Australian Paint Manufacturers Federation",NA,NA,NA,NA,"Business","551",0,0
"Australian Payments Clearing Association","Australian Payments Network",NA,NA,NA,NA,"Business","554",23,174
"Australian Private Equity and Venture Capital Association","Australian Investment Council",NA,NA,NA,NA,"Business","580",17,204
"Australian Professional Footballers' Association","Australian Professional Footballers Association",NA,NA,NA,NA,"Professional","583",0,0
"Australian Professional Rodeo Association",NA,NA,NA,NA,NA,"Business","584",0,1
"Australian Recreational and Sport Fishing Industry Confederation Inc","Australian National Sportfishing Association",NA,NA,NA,"ANSA","Business","596",0,1
"Australian Sales and Marketing Institute","GoSales and Marketing",NA,NA,NA,NA,"Business","612",0,0
"Australian Services Roundtable",NA,NA,NA,NA,"AIPM","Business","621",0,0
"Australian Shareholders' Association","Australian Shareholders Association",NA,NA,NA,NA,"Professional","625",57,323
"Australian Ski Patrol Association Inc","Australian Ski Patrol Association",NA,NA,NA,NA,"Professional","633",0,0
"Australian Society of Association Executives",NA,NA,NA,NA,NA,"Professional","645",0,0
"Australian Sport Aviation Confederation","Air Sport Australia Confederation",NA,NA,NA,NA,"Business","665",0,1
"Welding Technology Institute of Australia","Welding Technology Institute",NA,NA,NA,"SCAA","Business","1686",0,5
"Australian Stainless Steel Development Association",NA,NA,NA,NA,NA,"Business","669",0,0
"Australian Swimming Coaches and Teachers Association",NA,NA,NA,NA,NA,"Professional","675",0,1
"Australian Technical Analysts Association",NA,NA,NA,NA,NA,"Professional","681",0,1
"Australian Technical Millers Association Inc","Australian Technical Millers Association",NA,NA,NA,NA,"Professional","682",0,0
"Australian Tennis Professional Coaches Association Ltd","Australian Tennis Professional Coaches Association",NA,NA,NA,"ATPCA","Professional","684",0,0
"Australian Tourism Export Council",NA,NA,NA,NA,"ATEC","Business","688",48,118
"Australian Toy Association",NA,NA,NA,NA,NA,"Business","689",21,61
"Australian Track and Field Coaches Association",NA,NA,NA,NA,"ATFCA","Professional","690",0,0
"Australian Trainers Association","Australian Trainers' Association",NA,NA,NA,NA,"Professional","693",0,13
"Australian Vending Association",NA,NA,NA,NA,NA,"Business","701",1,1
"Australian Video Rental Retailers Association",NA,NA,NA,NA,NA,"Business","704",0,3
"Australian Volleyball Federation",NA,NA,NA,NA,NA,"Business","708",0,0
"Australian Water Polo","Water Polo Australia",NA,NA,NA,NA,"Business","712",0,14
"Australian Weightlifting Federation",NA,NA,NA,NA,NA,"Business","715",0,0
"Australian Wood Panels Association","Engineered Wood Products Association of Australasia",NA,NA,NA,NA,"Business","725",0,0
"Basketball Australia",NA,NA,NA,NA,NA,"Business","749",3,81
"Blind Manufacturers Association of Australia","Blind Manufacturers Association",NA,NA,NA,"BMAA","Business","765",0,0
"Bulky Goods Retailers Association","Large Format Retail Association",NA,NA,NA,NA,"Business","793",6,31
"Abacus - Australian Mutuals","Customer Owned Banking Association","Abacus",NA,NA,NA,"Business","10541",15,161
"Bushwalking Australia",NA,NA,NA,NA,"BAI","Citizen","796",0,0
"Business and Professional Women Australia",NA,NA,NA,NA,NA,"Citizen","797",0,0
"Business Council of Australia",NA,NA,NA,NA,"BCA","Business","798",1444,5653
"Business Events Council of Australia","Business Events Council",NA,NA,NA,NA,"Business","799",4,12
"Cabinet Makers Association",NA,NA,NA,NA,NA,"Professional","802",0,0
